name,filename,relevance,link
A new Consumer Duty Feedback to CP21-36 and final rules. Policy Statement PS22-9,A_new_Consumer_Duty_Feedback_to_CP21_36_and_final_rules_Policy_Statement_PS22_9.pdf,"General Fin.Services,Payments/e-money",https://www.fca.org.uk/publication/policy/ps22-9.pdf
Banking Conduct of Business sourcebook (BCOBS),Banking_Conduct_of_Business_sourcebook_BCOBS.pdf,"Crypto,General Fin.Services,Investment",https://www.handbook.fca.org.uk/handbook/BCOBS.pdf
Building operational resilience Feedback to CP19-32 and final rules. Policy Statement PS21-3,Building_operational_resilience_Feedback_to_CP19_32_and_final_rules_Policy_Statement_PS21_3.pdf,"General Fin.Services,Payments/e-money",https://www.fca.org.uk/publication/policy/ps21-3-operational-resilience.pdf
Changes to the SCA-RTS and to the guidance in ‘Payment Services and Electronic Money – Our Approach’ and the Perimeter Guidance Manual Policy Statement PS21-19,Changes_to_the_SCA_RTS_and_to_the_guidance_in_Payment_Services_and_Electronic_Money__Our_Approach_and_the_Perimeter_Guidance_Manual_Policy_Statement_PS21_19.pdf,Payments/e-money,https://www.fca.org.uk/publication/policy/ps21-19.pdf
"Conduct of Business sourcebook (COBS) Сhapter 4 Communicating with clients, including financial promotions",Conduct_of_Business_sourcebook_COBS_Сhapter_4_Communicating_with_clients__including_financial_promotions.pdf,"Crypto,Investment",https://www.handbook.fca.org.uk/handbook/COBS/4/?view=chapter
Dear CEO Letter Priorities for payment firms 2023 March,Dear_CEO_Letter_Priorities_for_payment_firms_2023_March.pdf,Payments/e-money,https://www.fca.org.uk/publication/correspondence/priorities-payments-firms-portfolio-letter-2023.pdf
"Dear CEO Letter,  Implementing the Consumer Duty in payments firms Feb 2023",Dear_CEO_Letter___Implementing_the_Consumer_Duty_in_payments_firms_Feb_2023.pdf,Payments/e-money,https://www.fca.org.uk/publication/correspondence/consumer-duty-portfolio-letter-payments-services-e-money.pdf
Dispute resolution- Complaints (For PSPs),Dispute_resolution__Complaints_For_PSPs.pdf,General Fin.Services,https://www.handbook.fca.org.uk/handbook/DISP/1.pdf
Dispute Resolution Complaints sourcebook (DISP),Dispute_Resolution_Complaints_sourcebook_DISP.pdf,General Fin.Services,https://www.handbook.fca.org.uk/handbook/DISP.pdf
EBA Guidelines on ICT and security risk management,EBA_Guidelines_on_ICT_and_security_risk_management.pdf,General Fin.Services,https://www.eba.europa.eu/sites/default/documents/files/document_library/Publications/Guidelines/2020/GLs%20on%20ICT%20and%20security%20risk%20management/872936/Final%20draft%20Guidelines%20on%20ICT%20and%20security%20risk%20management.pdf
